Title,Company,Location,Salary,Job Type,Description,Date Posted
Outside Sales Representative,Capital Home Building Centre,"Paradise, NL",N/A,Full-time,Applicant must possess valid drivers license. Duties include but are not limited to personal contact with new and existing customers through site visits and…  ,4
Production Supervisor,Cooke Aquaculture Inc.,"Hermitage, NL",N/A,Full-time,"Our company’s success is driven by our dynamic, highly-skilled and innovative management team, supported by dedicated employees who live in coastal communities…   ",30
FW Maintenance Support,Cooke Aquaculture Inc.,"St. Alban's, NL",N/A,Full-time,"Our company’s success is driven by our dynamic, highly skilled, and innovative management team, supported by dedicated employees who live in coastal communities…   ",30
retail sales representative,Just Goody Merchants Inc.,"St. John's, NL",15.0,"Full-time
+1","Greet customers and discuss type, quality and quantity of merchandise or services sought for purchase, rental or lease. Assist in display of merchandise.  ",30
Personal Care Attendant,Chancellor Park,"St. John's, NL",21.43,"Full-time
+1","As a member of the Chancellor Park interdisciplinary team, the successful candidate will assist residents with routine activities of daily living such as…   ",4
Behaviour Management Specialist,NL Health Services,"Remote in Corner Brook, NL",38.0,Full-time,Use of a private vehicle and valid driver license are a condition of employment. The Behaviour Management Specialist develops and oversees the delivery of…  ,30
Sales Manager,Hilton Garden Inn St. John's,"St. John's, NL",N/A,Full-time,"Must be able to work a flexible schedule, hold a valid driver’s license and self-drive to client appointments. Executes sales trips to key market areas.  ",11
Cook Helper,NL Health Services,"Forteau, NL",19.66,Part-time,""" Prepares regular meals for special diet patients; The primary purpose of this position is to perform a variety of cooking tasks at the Labrador South Health…  ",16
Ramp Attendant,Capital Subaru,"St. John's, NL",17.0,"Full-time
+1","Valid driver's license and a good driving record. Required to drive vehicles onto ramp, properly secure vehicle to alignment machine to ensure safe operation,…  ",4
Red Seal Crane Operator,Integrated Logistics,Newfoundland and Labrador,1.0,Full-time,"Participate in Integrated Logistics flow to work program which sees workers move between tasks, equipment pieces and labour assignments throughout the shift and…",4
Home Support Worker,Compassion HomeCare,"St. John's, NL",17.73,Casual,"Valid driver's license and reliable transportation. Assist with activities of daily living, including bathing, dressing, and grooming.   ",4
Hitch Installer,U-Haul,"St. John's, NL",N/A,Full-time,"Valid driver’s license and the ability to maintain a good driving record. All applications for employment will be considered without regard to race, color,…   ",30
Operations Coordinator,GFL Environmental Inc.,"St. John's, NL",N/A,Full-time,"Respond to incoming customer calls and transfer to the proper departments. GFL Environmental is an equal opportunity employer and encourages women, Aboriginal…   ",26
Warehouse Worker/Delivery Driver,Carol Wabush Distributing Company Limited,"Labrador City, NL",19.0,"Full-time
+1","Fill order, delivery, customer service skills, req driver license and clear rnc abstract. Job Types: Permanent, Full-time. Salary: From $19.00 per hour.  ",10
Clerk Typist III - Temporary hours/day,Newfoundland & Labrador English School District,"Conception Bay South, NL",24.06,,Completion of a 2-year diploma/certificate program from a recognized post-secondary institution in Office/Business Administration.   ,4
Priest-in-Charge Part-time,The Diocese of Eastern Newfoundland and Labrador,"Mount Pearl, NL",N/A,Part-time,"Rev. Samuel Rose is accepting applications for the position of Priest-in-Charge, half-time, for the Parish of the Good Shepherd.  ",3
Administrative Assistant,Association for New Canadians,"St. John's, NL",N/A,Full-time,"The role will include coordinating the administrative functions of the program, including support with planning of activities, maintenance of records and data…   ",29
Installer,Action Car and Truck Accessories Inc.,"St. John's, NL",19.0,"Full-time
+1","If you are a wrenching enthusiast, who has at least two years’ experience installing aftermarket accessories, have a strong mechanical aptitude, and you enjoy…   ",3
Manager of Social Enterprises,Connections for Seniors,"St. John's, NL",60.0,Full-time,"Continuously assess and report on the social, economic, and environmental impact of social enterprises on senior citizens and the community.   ",8
emergency medical responder,Fewers Ambulance Service,"Conception Bay South, NL",19.9,"Full-time
+1","Education: Secondary (high) school graduation certificate. Driver's validity licence check. Assist hospital personnel with provision of medical treatment, if…   ",1
Shop Labourer,Carol Lake Metal Works,"Labrador City, NL",N/A,,Must have a valid driver’s license. Properly mix multi-component systems per manufacturers’ specifications. Prepare surfaces for coating by sand or steel shot…   ,30
Hatchery Technician,Mowi Canada West,"Stephenville, NL",N/A,Full-time,"In the Hatchery Technician role you will experience all the duties of a Hatchery Technician including, feeding, grading/counting or measuring fish, mortality…  ",30
Office Manager - Dental,"NL Periodontics and Dental Implants, Dr. Tony...","St. John's, NL",45.0,"Full-time
+1","Your responsibilities will include overseeing administrative staff, managing office policies, maintaining employee records, coordinating meetings, and incoming…  ",4
Engine Room Operator,Puglisevich Canada,"St. John's, NL",N/A,,Complying with proper maintenance procedures in accordance with valid maintenance program. Observe to uncover any non-compliance and immediately report these to…   ,20
Assistant Store Manager,Newfoundland Labrador Liquor Corporation,"Clarenville, NL",66.0,Full-time,Adhere to inventory and cash management administrative practices. Support an effective Health and Safety environment for customers and staff in accordance with…   ,30
Bilingual Interviewer,MQO Research,"St. John's, NL",1.0,Part-time,We're a remote interviewing team that's not trying to sell anything; we conduct market research surveys. Candidates will be required to complete and pass a…   ,30
production supervisor - food and beverage processing,Frozen in Time Ltd.,"Whitbourne, NL",20.85,"Full-time
+1",Establish methods to meet work schedules and co-ordinate work activities with other work units. Experience: 3 years to less than 5 years.  ,30
Dental Front Desk Receptionist,Torbay Smiles Dentistry,"Torbay, NL",15.0,Full-time,"Perform clerical tasks such as filing, photocopying, and faxing documents and other related office tasks as needed.  ",30
Red Seal Crane Operator,Integrated Logistics,Newfoundland and Labrador,1.0,Full-time,"Participate in Integrated Logistics flow to work program which sees workers move between tasks, equipment pieces and labour assignments throughout the shift and…",4
dishwasher,Kariss Enterprises Limited,"Mount Pearl, NL",15.0,"Full-time
+1","Education: No degree, certificate or diploma. Handle and store cleaning products. Clean and sanitize items such as dishwasher mats, carts and waste disposal…  ",30
emergency medical dispatcher,Fewers Ambulance Service,"Clarenville, NL",15.24,Casual,"Education: No degree, certificate or diploma. Advise vehicle operators of traffic and other problems. Dispatch personnel according to schedules and work orders.   ",18
food services manager,FB Burrito Partnership,"St. John's, NL",45.0,"Full-time
+1","Participate in marketing plans and implementation. Address customers' complaints or concerns. Recruit, train and supervise staff. Hours: 40 hours per week.  ",1
Business Analyst,St. John's International Airport Authority,"St. John's, NL",N/A,Full-time,We are committed to offering an exceptional airport experience for our passengers and enhancing the economic and social well-being of our community.  ,30
Installer,Action Car and Truck Accessories Inc.,"St. John's, NL",19.0,"Full-time
+1","If you are a wrenching enthusiast, who has at least two years’ experience installing aftermarket accessories, have a strong mechanical aptitude, and you enjoy…   ",3
Heavy Equipment Operator,Town of Come By Chance,"Come By Chance, NL",N/A,Part-time,"Possess a valid Class 5 Driver's License. General knowledge of vehicle mechanics and repair such as backhoe, light-duty pick-up trucks & other equipment.  ",3
Flight Attendants,PROVINCIAL AEROSPACE LTD,"St. John's, NL",1.0,Full-time,"You will greet passengers, explain safety procedures, serve food and beverages to passengers, and make in-flight announcements. Why work for PAL Airlines?   ",5
HSE Advisor,North Star Associates Inc.,"Wabush, NL",35.0,Full-time,"A negative pre-employment drug and alcohol test, along with an acceptable driving record and Canadian drivers license are important parts of our safety program…   ",30
Red Seal Crane Operator,Integrated Logistics,Newfoundland and Labrador,1.0,Full-time,"Participate in Integrated Logistics flow to work program which sees workers move between tasks, equipment pieces and labour assignments throughout the shift and…",4
